building_id,room_id,room_name,Hour,Length of Class,building_name,abbr_building_name,class_number,Full Name of Space
1,55,115 Classroom,465,60,Agriculture Engineering Building,AGM,115,AGM115
1,55,115 Classroom,615,60,Agriculture Engineering Building,AGM,115,AGM115
1,55,115 Classroom,765,120,Agriculture Engineering Building,AGM,115,AGM115
1,55,115 Classroom,690,60,Agriculture Engineering Building,AGM,115,AGM115
2,33,009 Classroom,690,60,Austin,AUS,009,AUS009
2,33,009 Classroom,765,60,Austin,AUS,009,AUS009
2,33,009 Classroom,615,60,Austin,AUS,009,AUS009
2,33,009 Classroom,840,60,Austin,AUS,009,AUS009
2,33,009 Classroom,540,60,Austin,AUS,009,AUS009
2,33,009 Classroom,1080,120,Austin,AUS,009,AUS009
2,5,127 Classroom,495,60,Austin,AUS,127,AUS127
2,5,127 Classroom,690,90,Austin,AUS,127,AUS127
2,5,127 Classroom,915,60,Austin,AUS,127,AUS127
2,5,127 Classroom,840,60,Austin,AUS,127,AUS127
2,5,127 Classroom,555,120,Austin,AUS,127,AUS127
2,6,128 Classroom,690,60,Austin,AUS,128,AUS128
2,6,128 Classroom,765,60,Austin,AUS,128,AUS128
2,6,128 Classroom,840,60,Austin,AUS,128,AUS128
2,6,128 Classroom,540,60,Austin,AUS,128,AUS128
2,6,128 Classroom,990,60,Austin,AUS,128,AUS128
2,6,128 Classroom,1065,60,Austin,AUS,128,AUS128
2,6,128 Classroom,615,60,Austin,AUS,128,AUS128
2,10,151 Classroom,540,60,Austin,AUS,151,AUS151
2,10,151 Classroom,615,60,Austin,AUS,151,AUS151
2,10,151 Classroom,900,120,Austin,AUS,151,AUS151
2,10,151 Classroom,840,60,Austin,AUS,151,AUS151
2,12,153 Computer Lab,990,60,Austin,AUS,153,AUS153
2,12,153 Computer Lab,690,60,Austin,AUS,153,AUS153
2,12,153 Computer Lab,540,60,Austin,AUS,153,AUS153
2,12,153 Computer Lab,615,60,Austin,AUS,153,AUS153
2,12,153 Computer Lab,765,60,Austin,AUS,153,AUS153
2,12,153 Computer Lab,915,60,Austin,AUS,153,AUS153
2,14,156 Classroom,615,60,Austin,AUS,156,AUS156
2,14,156 Classroom,990,60,Austin,AUS,156,AUS156
2,14,156 Classroom,465,60,Austin,AUS,156,AUS156
2,14,156 Classroom,840,60,Austin,AUS,156,AUS156
2,14,156 Classroom,765,60,Austin,AUS,156,AUS156
2,14,156 Classroom,690,60,Austin,AUS,156,AUS156
2,15,157 Classroom,615,60,Austin,AUS,157,AUS157
2,15,157 Classroom,540,60,Austin,AUS,157,AUS157
2,15,157 Classroom,765,60,Austin,AUS,157,AUS157
2,15,157 Classroom,1020,120,Austin,AUS,157,AUS157
2,15,157 Classroom,690,60,Austin,AUS,157,AUS157
2,24,202 Classroom,840,60,Austin,AUS,202,AUS202
2,24,202 Classroom,615,60,Austin,AUS,202,AUS202
2,24,202 Classroom,465,60,Austin,AUS,202,AUS202
2,24,202 Classroom,1065,120,Austin,AUS,202,AUS202
2,24,202 Classroom,765,60,Austin,AUS,202,AUS202
2,24,202 Classroom,915,60,Austin,AUS,202,AUS202
2,25,204 Classroom,765,60,Austin,AUS,204,AUS204
2,25,204 Classroom,615,60,Austin,AUS,204,AUS204
2,25,204 Classroom,990,60,Austin,AUS,204,AUS204
2,25,204 Classroom,540,60,Austin,AUS,204,AUS204
2,25,204 Classroom,465,60,Austin,AUS,204,AUS204
2,25,204 Classroom,840,60,Austin,AUS,204,AUS204
2,25,204 Classroom,690,60,Austin,AUS,204,AUS204
2,1269,204/206 Classroom Combo,690,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,765,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,615,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,540,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,615,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,765,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,990,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,540,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,915,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,840,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,465,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,840,60,Austin,AUS,204/206,AUS204/206
2,1269,204/206 Classroom Combo,690,60,Austin,AUS,204/206,AUS204/206
2,26,206 Classroom,690,60,Austin,AUS,206,AUS206
2,26,206 Classroom,615,60,Austin,AUS,206,AUS206
2,26,206 Classroom,540,60,Austin,AUS,206,AUS206
2,26,206 Classroom,765,60,Austin,AUS,206,AUS206
2,26,206 Classroom,915,60,Austin,AUS,206,AUS206
2,26,206 Classroom,840,60,Austin,AUS,206,AUS206
2,28,210 Classroom,840,60,Austin,AUS,210,AUS210
2,28,210 Classroom,975,45,Austin,AUS,210,AUS210
2,28,210 Classroom,690,60,Austin,AUS,210,AUS210
2,28,210 Classroom,765,60,Austin,AUS,210,AUS210
2,28,210 Classroom,615,60,Austin,AUS,210,AUS210
2,28,210 Classroom,915,60,Austin,AUS,210,AUS210
2,28,210 Classroom,540,60,Austin,AUS,210,AUS210
2,28,210 Classroom,465,60,Austin,AUS,210,AUS210
2,1268,210/212 Classroom Combo,540,60,Austin,AUS,210/212,AUS210/212
