building_id,room_id,room_name,Hour,Length of Class,building_name,abbr_building_name,class_number,Full Name of Space
2,33,009 Classroom,1080,120,Austin,AUS,009,AUS009
2,6,128 Classroom,1065,60,Austin,AUS,128,AUS128
2,10,151 Classroom,900,120,Austin,AUS,151,AUS151
2,15,157 Classroom,1020,120,Austin,AUS,157,AUS157
2,24,202 Classroom,1065,120,Austin,AUS,202,AUS202
2,25,204 Classroom,840,60,Austin,AUS,204,AUS204
2,1269,204/206 Classroom Combo,840,60,Austin,AUS,204/206,AUS204/206
2,28,210 Classroom,0,1439,Austin,AUS,210,AUS210
2,1268,210/212 Classroom Combo,0,1439,Austin,AUS,210/212,AUS210/212
2,29,212 Classroom,0,1439,Austin,AUS,212,AUS212
2,32,221 Classroom,1050,60,Austin,AUS,221,AUS221
3,63,108 Classroom,960,60,Benson,BEN,108,BEN108
3,63,108 Classroom,1020,120,Benson,BEN,108,BEN108
3,757,108/110 Classroom,960,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,1020,120,Benson,BEN,108/110,BEN108/110
3,65,110 Classroom,1020,120,Benson,BEN,110,BEN110
3,68,124 Classroom,975,45,Benson,BEN,124,BEN124
3,68,124 Classroom,1020,120,Benson,BEN,124,BEN124
3,69,133 Classroom,750,60,Benson,BEN,133,BEN133
3,69,133 Classroom,675,45,Benson,BEN,133,BEN133
3,457,1FF Foyer,630,30,Benson,BEN,1FF,BEN1FF
3,74,216 Conference Room (Biology Dept),615,60,Benson,BEN,216,BEN216
3,74,216 Conference Room (Biology Dept),840,60,Benson,BEN,216,BEN216
3,84,269 Classroom,1110,90,Benson,BEN,269,BEN269
47,854,151 Conference Room,840,60,Biddulph Hall,,151,151
47,856,212 Conference Room,540,60,Biddulph Hall,,212,212
47,855,251 Conference Room,900,60,Biddulph Hall,,251,251
47,855,251 Conference Room,870,30,Biddulph Hall,,251,251
47,1304,322 Conference Room,900,60,Biddulph Hall,,322,322
45,569,Auditorium,1,1438,BYU-Idaho Center,,Auditorium,Auditorium
45,602,Court 04,660,120,BYU-Idaho Center,,Court,Court
45,603,Court 05,675,15,BYU-Idaho Center,,Court,Court
45,604,Court 06,660,120,BYU-Idaho Center,,Court,Court
45,605,Court 07,675,15,BYU-Idaho Center,,Court,Court
45,635,Courts 1-10,660,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,660,120,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,675,15,BYU-Idaho Center,,Courts,Courts
45,635,Courts 1-10,675,15,BYU-Idaho Center,,Courts,Courts
4,118,114 Classroom,510,60,Clarke,CLK,114,CLK114
4,861,229 Classroom,915,60,Clarke,CLK,229,CLK229
