Full Name of Space,hours_open,length_per_class,X,Y,building_id,room_id
AGM115,465-615-765-690,60-60-120-60,-111.783255,43.813137,1,55
AUS009,690-765-615-840-540-1080,60-60-60-60-60-120,-111.784797,43.816184,2,33
AUS127,495-690-915-840-555,60-90-60-60-120,-111.784551,43.816128,2,5
AUS128,690-765-840-540-990-1065-615,60-60-60-60-60-60-60,-111.784538,43.816205,2,6
AUS151,540-615-900-840,60-60-120-60,-111.784278,43.815675,2,10
AUS153,990-690-540-615-765-915,60-60-60-60-60-60,-111.784177,43.815675,2,12
AUS156,615-990-465-840-765-690,60-60-60-60-60-60,-111.784401,43.81569,2,14
AUS157,615-540-765-1020-690,60-60-60-120-60,-111.784164,43.815559,2,15
AUS202,840-615-465-1065-765-915,60-60-60-120-60-60,-111.784426,43.816085,2,24
AUS204,765-615-990-540-465-840-690,60-60-60-60-60-60-60,-111.784431,43.816201,2,25
AUS206,690-615-540-765-915-840,60-60-60-60-60-60,-111.784556,43.816201,2,26
AUS210,840-975-690-765-615-915-540-465,60-45-60-60-60-60-60-60,-111.784707,43.816203,2,28
AUS212,540-465-615-690-915-840-765,60-60-60-60-60-60-60,-111.784835,43.816201,2,29
AUS213,690-540-765-615-840-915-465,60-60-60-60-60-60-60,-111.784685,43.816084,2,30
AUS214,840-765-555-915-690,60-60-120-120-60,-111.78497,43.816213,2,31
AUS221,915-480-690-615-765-840,60-120-60-60-60-60,-111.784801,43.816068,2,32
BEN108,690-765-615-840-1020-540-960,60-60-60-60-120-60-60,-111.783359,43.815935,3,63
BEN110,540-615-690-765-915-840-1020,60-60-60-60-60-60-120,-111.783367,43.81586,3,65
BEN124,915-975-1020-690-765-840-615-540-465,60-45-120-60-60-60-60-60-60,-111.783329,43.815622,3,68
BEN133,615-540-750,60-60-60,-111.783148,43.815546,3,69
BEN154,765-840-615-540,60-60-60-60,-111.783142,43.815336,3,72
BEN216,840-540-615,60-60-60,-111.783323,43.815865,3,74
BEN219,465-540-615-690-765-840-915,60-60-60-60-60-60-60,-111.783358,43.815784,3,75
BEN224,765-615-690-540-840,60-60-60-60-60,-111.783178,43.815559,3,79
BEN229,915,180,-111.783342,43.815448,3,80
BEN236,540-840-765,60-60-60,-111.783252,43.815251,3,82
BEN269,540-615-690-465-765-840-960,60-60-60-60-60-60-150,-111.783012,43.815285,3,84
BEN270,540-765-840-465-615-690,60-60-60-60-60-60,-111.78299,43.815397,3,85
BEN271,765-840-915-465-540-690-615-1020,60-60-60-60-60-60-60-90,-111.782938,43.815285,3,86
BEN287,840-615-690-540-765-465,60-60-60-60-60-60,-111.782758,43.815762,3,94
CLK112,840-765-540-630-900,60-60-60-120-150,-111.781698,43.820132,4,117
CLK114,690-585-840-900,90-90-60-60,-111.781728,43.820205,4,118
CLK121,480,540,-111.781498,43.820488,4,1233
CLK127,480-585-765-840,90-90-60-60,-111.781622,43.820478,4,1234
CLK133,480-585-765,90-90-60,-111.781706,43.820478,4,121
CLK135,480-615-690,120-60-90,-111.781785,43.820478,4,122
CLK139,690-540-615-765,60-60-60-60,-111.781876,43.820494,4,123
CLK141,480-615-840-915-765,120-60-60-60-60,-111.781886,43.82043,4,124
CLK143,690-795-540-615,60-90-60-60,-111.781985,43.820449000000004,4,125
CLK148,795-690-570,90-60-120,-111.78176,43.820132,4,126
CLK149,690-765-615-540,60-60-60-60,-111.781879,43.820124,4,418
CLK214,915-480-795-690,90-90-90-90,-111.78173,43.820206,4,419
CLK216,540-615-840-690-765,60-60-60-60-60,-111.78173,43.820276,4,420
CLK225,540-690-615-765-840,60-60-60-60-60,-111.781709,43.820477,4,860
CLK229,690-765-840-615,60-60-60-60,-111.781789,43.820477,4,861
CLK235,795-540-690-615-885,90-60-90-60-15,-111.78188,43.820455,4,862
CLK239,795-480-585-690-885,90-90-90-90-15,-111.78188,43.820374,4,863
CLK269,765-840-615,60-240-60,-111.781883,43.820256,4,903
CLK317,585-690-840,90-90-60,-111.781594,43.820038,4,135
CLK319,540-615-840-690-765-915,60-60-60-60-60-60,-111.781594,43.820131,4,136
CLK323,480-615-690-840-915-765,120-60-60-60-60-60,-111.781594,43.820267,4,139
CLK329,840-915-615-765-690,60-60-60-60-60,-111.781591,43.820387,4,140
CLK337,690-765-480-585,60-120-90-90,-111.78188,43.820488,4,1230
CLK341,765-1035-915-465-690-840-540-615,60-60-60-60-60-60-60-60,-111.78188,43.820366,4,144
CLK343,690-465-540-615-765,60-60-60-60-60,-111.78188,43.820281,4,1231
CLK351,840-765-585-1020-690-915,60-60-90-90-60-90,-111.78188,43.820148,4,146
HIN145,765-840-615-690,60-60-60-60,-111.780099,43.815717,6,147
HIN157,690-465-540-615-765-840,60-60-60-60-60-60,-111.780096,43.815803,6,148
HIN171,765-915-840-540-690,60-60-60-120-60,-111.780094,43.815967,6,149
HIN185,990-540-765-840-615-690,60-60-60-60-60-60,-111.780089,43.816057,6,150
HIN203,690-465-540-765-840-615-915,60-60-60-60-60-60-60,-111.779658,43.816051,6,151
HIN209,840-690-615,60-60-60,-111.77964,43.815963000000004,6,153
HIN221,465-615-540-765-690,60-60-60-60-60,-111.779642,43.815799,6,154
HIN227,690-840-765-540-615,60-60-60-60-60,-111.779652,43.815711,6,155
HIN245,765-690-615-540-465-840,60-60-60-60-60-60,-111.780095,43.815713,6,157
HIN257,765-540-465-690-615,60-60-60-60-60,-111.780096,43.815804,6,159
HIN260,915-1065-690-765,60-15-60-60,-111.779869,43.81582,6,160
HIN270,1065-690-765,15-60-60,-111.779867,43.815946,6,161
HIN271,915-540-840-690-765,60-60-60-60-60,-111.780094,43.815967,6,162
HIN277,765-540-615-840-690,60-60-60-60-60,-111.78009,43.816043,6,163
HIN286,615-960-765-840-540-690,60-30-60-60-60-60,-111.779864,43.8161,6,165
HIN307,765-840-690-540,60-90-60-120,-111.779639,43.815953,6,167
HIN333,615-765-540-945,60-120-60-60,-111.779819,43.81571,6,168
HIN335,540-990-690-795,60-90-90-90,-111.779923,43.815711,6,169
HIN371,690-615-840-540-915-765,60-60-60-60-60-60,-111.780091,43.81596,6,170
HIN381,540-630-915,60-60-60,-111.779917,43.816055,6,171
HIN383,690-540-840-615-915,60-60-60-60-60,-111.779814,43.816054,6,172
HRT141,645-840-975-915-585-690,30-60-30-60-60-60,-111.785145,43.819564,5,173
HRT146,915,120,-111.784803,43.819615,5,175
HRT154,840-540-615-765-690,60-60-60-60-60,-111.785111,43.819813,5,177
HRT170,690-540-465-765,60-60-60-120,-111.785281,43.819813,5,179
HRT204,1140-765-915-690-615-540-840-1080,180-60-165-60-60-60-60-60,-111.784197,43.819678,5,188
HRT215,540-960-360-765-465-615-825,60-150-60-60-60-120-45,-111.784521,43.819347,5,1319
HRT234,1260-1020-1080-690-540-615-465-840,60-60-60-120-60-60-60-60,-111.784803,43.819613,5,193
HRT250,1260-480-1260-480,60-780-60-780,-111.785393,43.819578,5,194
HRT250,1260-480-1260-480,60-780-60-780,-111.785393,43.819578,5,429
HRT250B,1260-480,60-780,-111.78539,43.819305,5,428
KIM138,540-960,120-60,-111.781404,43.816904,8,201
KIM245,540-615-765,60-60-60,-111.781515,43.81682,8,208
KIM268,540-960,240-60,-111.781623,43.816796,8,209
MCK108,480-855-723-797-1080,120-180-66-58-120,-111.783125,43.819086,13,1225
MCK130,720-835-963-523,45-50-87-92,-111.783288,43.819317,13,1267
MCK140E,720-540-960-1155,180-165-75-180,-111.783307,43.819619,13,1186
MCK208,796-537-1170-1040-604-881,59-52-180-70-131-53,-111.783086,43.819082,13,764
MCK209,519-832-720-1000-1140-683,96-128-90-65-120-37,-111.783126,43.819082,13,765
MCK250A,600-1065-898-690,90-75-32-150,-111.782932,43.819509,13,766
MCK293,465-615-765-840-690,60-60-60-60-60,-111.782341,43.819532,13,247
MCK294,465-765-615-540-690-915-840,60-60-60-60-60-60-60,-111.782557,43.819448,13,248
MCK310,606-900-843-1035-495-1170,189-80-57-48-60-180,-111.78329,43.819082,13,782
MCK312,480-675-855,180-69-135,-111.783326,43.819082,13,808
MCK364,615-540,60-60,-111.782999,43.819494,13,250
RKS125,840-690-615-765-540,60-60-60-60-60,-111.78154,43.814764,14,254
RKS127,615-840-690-540-765,60-60-60-60-60,-111.781426,43.814764,14,255
RKS130,480-585-690-795,90-90-90-90,-111.781416,43.81485,14,256
RKS131,615-765-540-465-840-690,60-60-60-60-60-60,-111.781312,43.814764,14,257
RKS147,540-840-765-615-690,60-60-60-60-60,-111.78082,43.814723,14,258
