building_id,room_id,room_name,Hour,Length of Class
2,33,009 Classroom,1080,120
2,6,128 Classroom,1065,60
2,10,151 Classroom,900,120
2,15,157 Classroom,1020,120
2,24,202 Classroom,1065,120
2,25,204 Classroom,840,60
2,1269,204/206 Classroom Combo,840,60
2,28,210 Classroom,0,1439
2,1268,210/212 Classroom Combo,0,1439
2,29,212 Classroom,0,1439
2,32,221 Classroom,1050,60
3,63,108 Classroom,960,60
3,63,108 Classroom,1020,120
3,757,108/110 Classroom,960,60
3,757,108/110 Classroom,1020,120
3,65,110 Classroom,1020,120
3,68,124 Classroom,975,45
3,68,124 Classroom,1020,120
3,69,133 Classroom,750,60
3,69,133 Classroom,675,45
3,457,1FF Foyer,630,30
3,74,216 Conference Room (Biology Dept),615,60
3,74,216 Conference Room (Biology Dept),840,60
3,84,269 Classroom,1110,90
47,854,151 Conference Room,840,60
47,856,212 Conference Room,540,60
47,855,251 Conference Room,900,60
47,855,251 Conference Room,870,30
47,1304,322 Conference Room,900,60
45,569,Auditorium,1,1438
45,602,Court 04,660,120
45,603,Court 05,675,15
45,604,Court 06,660,120
45,605,Court 07,675,15
45,635,Courts 1-10,675,15
45,635,Courts 1-10,675,15
45,635,Courts 1-10,660,120
45,635,Courts 1-10,660,120
4,118,114 Classroom,510,60
4,861,229 Classroom,915,60
4,862,235 Classroom,885,15
4,864,235/239 Classroom Combo,885,15
4,863,239 Classroom,885,15
4,144,341 Classroom,915,60
4,1272,341/343 Classrooom Combo,915,60
24,407,Sports Complex Field 2,360,150
24,402,Stadium Field,360,105
24,423,Stadium Field and Track,360,105
5,1319,215 Swimming Pool (combined lanes),360,60
5,1319,215 Swimming Pool (combined lanes),825,45
5,1319,215 Swimming Pool (combined lanes),540,210
5,1320,215-L1 Swimming Pool - Lane 1,360,60
5,1320,215-L1 Swimming Pool - Lane 1,825,45
5,1320,215-L1 Swimming Pool - Lane 1,540,210
5,1321,215-L2 Swimming Pool - Lane 2,360,60
5,1321,215-L2 Swimming Pool - Lane 2,825,45
5,1321,215-L2 Swimming Pool - Lane 2,540,210
5,1322,215-L3 Swimming Pool - Lane 3,360,60
5,1322,215-L3 Swimming Pool - Lane 3,825,45
5,1322,215-L3 Swimming Pool - Lane 3,540,210
5,1323,215-L4 Swimming Pool - Lane 4,360,60
5,1323,215-L4 Swimming Pool - Lane 4,825,45
5,1323,215-L4 Swimming Pool - Lane 4,540,210
5,1324,215-L5 Swimming Pool - Lane 5,360,60
5,1324,215-L5 Swimming Pool - Lane 5,825,45
5,1324,215-L5 Swimming Pool - Lane 5,540,210
5,1325,215-L6 Swimming Pool - Lane 6,360,60
5,1325,215-L6 Swimming Pool - Lane 6,825,45
5,1325,215-L6 Swimming Pool - Lane 6,540,210
5,193,234 Fitness Studio,1020,60
5,193,234 Fitness Studio,1080,60
5,193,234 Fitness Studio,1140,60
5,193,234 Fitness Studio,1200,60
5,194,250 Auditorium (gym/stage combo),1140,60
5,194,250 Auditorium (gym/stage combo),1200,60
5,194,250 Auditorium (gym/stage combo),1260,60
5,429,250 Hart Gym,1140,60
5,429,250 Hart Gym,1200,60
5,429,250 Hart Gym,1260,60
5,428,250B Hart Stage,1140,60
5,428,250B Hart Stage,1260,60
6,151,203 Classroom,1140,90
6,153,209 Classroom,1110,120
6,154,221 Classroom,1110,210
6,155,227 Classroom,1140,90
6,157,245 Classroom,1140,90
6,159,257 Classroom,1140,90
6,162,271 Classroom,1140,90
6,163,277 Classroom,1140,90
6,167,307 Classroom,1140,90
6,170,371 Classroom,1140,90
8,201,138 Conference Room,480,120
8,201,138 Conference Room,1140,60
8,207,243 Conference Room,1140,60
8,208,245 Classroom,1140,60
8,209,268 Conference  Room,630,60
12,532,176A Meeting Room,450,30
12,535,176B Meeting Room,900,60
12,536,176C Meeting Room,900,60
12,537,176D Meeting Room,480,360
12,541,378 Conference Room,540,60
12,541,378 Conference Room,660,60
12,541,378 Conference Room,870,90
12,542,380 Meeting Room,870,150
12,543,385 Conference Room,1020,120
12,543,385 Conference Room,720,60
12,543,385 Conference Room,630,90
12,687,BTH204 Ballroom  ,1020,120
13,1267,130 Library Meeting Room,573,147
13,1186,140E Large Group Study Room,585,60
13,247,293 Classroom,1080,60
13,248,294 Classroom,1080,60
14,265,211 Classroom,1020,120
14,267,225 Classroom,975,60
14,633,Ricks Patio and Foyer Combination,630,30
16,285,131 Classroom,945,150
16,301,268 Classroom,1020,120
16,305,277 Classroom,1020,120
239,1029,201 Classroom,990,120
239,1177,201/205 Classroom Combo,780,90
239,1177,201/205 Classroom Combo,930,60
239,1177,201/205 Classroom Combo,990,120
239,1030,205 Classroom,780,90
239,1030,205 Classroom,930,60
239,1030,205 Classroom,990,120
239,1276,207 Study Room,570,180
239,1276,207 Study Room,750,180
239,1207,225  Conference Room,660,135
