Building Name,Floor Number,Short Name of Space,Full Name of Space,Space Type,Capacity,Space Function,Level Number,Calculated Square Footage,X,Y
KIM,2,250D,KIM250D,Office,2,Office,2,101,-111.781316,43.816768
SMI,1,104,SMI104,Office,2,Office,1,123,-111.781308,43.819443
TAY,2,278,TAY278,Classroom,48,Classroom,2,701,-111.782074,43.816905
TAY,2,276,TAY276,Classroom,60,Classroom,2,847,-111.782176,43.816906
TAY,2,275,TAY275,Classroom,48,Classroom,2,638,-111.782275,43.816905
TAY,2,265,TAY265,Maintenance Space,0,Mechanical,2,1527,-111.782503,43.816916
TAY,2,249,TAY249,Classroom,48,Classroom,2,638,-111.782732,43.816906
TAY,2,248,TAY248,Classroom,72,Classroom,2,847,-111.78283,43.816907
TAY,2,247,TAY247,Classroom,48,Classroom,2,701,-111.782933,43.816907
TAY,2,240E,TAY240E,Office,2,Office,2,129,-111.78299,43.816825
TAY,2,240D,TAY240D,Office,2,Office,2,140,-111.78299,43.816795
TAY,2,240C,TAY240C,Office,3,Office,2,202,-111.782992,43.816755
TAY,2,240B,TAY240B,Work Space,2,Work Room,2,82,-111.782956,43.816744
TAY,2,240A,TAY240A,Office,2,Office,2,124,-111.782921,43.816748
TAY,2,238,TAY238,Office,2,Office,2,122,-111.782883,43.816748
TAY,2,236,TAY236,Office,2,Office,2,122,-111.782845,43.816748
TAY,2,235,TAY235,Office,2,Office,2,122,-111.782807,43.816747
TAY,2,234,TAY234,Office,2,Office,2,122,-111.782769,43.816747
TAY,2,232,TAY232,Office,2,Office,2,122,-111.782731,43.816747
TAY,2,230,TAY230,Office,2,Office,2,122,-111.782693,43.816747
TAY,2,228,TAY228,Office,2,Office,2,122,-111.782655,43.816747
TAY,2,226,TAY226,Office,2,Office,2,122,-111.782617,43.816747
TAY,2,225,TAY225,Office,2,Office,2,122,-111.78258,43.816747
TAY,2,224,TAY224,Office,2,Office,2,122,-111.782542,43.816747
TAY,2,223,TAY223,Office,2,Office,2,120,-111.782504,43.816747
TAY,2,222,TAY222,Office,2,Office,2,122,-111.782467,43.816747
TAY,2,221,TAY221,Office,2,Office,2,122,-111.782429,43.816747
TAY,2,220,TAY220,Office,2,Office,2,122,-111.782391,43.816747
TAY,2,218,TAY218,Office,2,Office,2,122,-111.782353,43.816746
TAY,2,216,TAY216,Office,2,Office,2,122,-111.782315,43.816746
TAY,2,214,TAY214,Office,2,Office,2,122,-111.782277,43.816746
TAY,2,213,TAY213,Office,2,Office,2,122,-111.782239,43.816746
TAY,2,212,TAY212,Office,2,Office,2,122,-111.782201,43.816746
TAY,2,210,TAY210,Office,2,Office,2,122,-111.782164,43.816746
TAY,2,208,TAY208,Office,2,Office,2,122,-111.782126,43.816746
TAY,2,202E,TAY202E,Office,2,Office,2,124,-111.782088,43.816746
TAY,2,202D,TAY202D,Work Space,2,Work Room,2,82,-111.782052,43.816742
TAY,2,202C,TAY202C,Office,3,Office,2,202,-111.782016,43.816753
TAY,2,202B,TAY202B,Office,2,Office,2,140,-111.782018,43.816792
TAY,2,202A,TAY202A,Office,2,Office,2,129,-111.782018,43.816822
TAY,2,202,TAY202,Reception Space,5,Secretary/ Reception ,2,441,-111.782074,43.816799
TAY,2,211,TAY211,Conference Room,20,Conference Room,2,519,-111.782206,43.81681
TAY,2,215,TAY215,Library,14,Library,2,271,-111.782285,43.81681
TAY,2,217,TAY217,Office,1,Office,2,89,-111.782332,43.816796
TAY,2,274,TAY274,Telecommunications Room,1,Clerk Office,2,90,-111.782332,43.816824
TAY,2,250,TAY250,Office,1,Office,2,97,-111.782715,43.816825
TAY,2,251,TAY251,Janitor Closet,0,Custodial,2,90,-111.782676,43.816824
TAY,2,229,TAY229,Office,1,Office,2,89,-111.782676,43.816797
TAY,2,231,TAY231,Office,1,Office,2,95,-111.782715,43.816797
TAY,2,233,TAY233,Work Space,2,Human. Prep,2,193,-111.782755,43.816811
TAY,2,237,TAY237,Conference Room,16,Conference Room,2,387,-111.782814,43.816811
TAY,2,240,TAY240,Reception Space,5,Secretary/ Reception ,2,441,-111.782934,43.816801
TAY,2,2-C,TAY2-C,Hallway,0,Hallway,2,2737,-111.782504,43.816854
TAY,2,2-F,TAY2-F,Elevator Cab,0,Elevator,2,64,-111.782504,43.816889
TAY,1,105,TAY105,Classroom,46,Religion Classroom,1,617,-111.782033,43.816769
TAY,1,106,TAY106,Classroom,46,Religion Classroom,1,617,-111.782114,43.816769
TAY,1,111,TAY111,Classroom,46,Conference Room,1,555,-111.782194,43.816766
TAY,1,110,TAY110,Office,0,Office,1,114,-111.782213,43.81682
TAY,1,109,TAY109,Office,2,Office,1,114,-111.782174,43.81682
TAY,1,107,TAY107,Office,2,Office,1,136,-111.782125,43.816824
