building_id,room_id,room_name,Hour,Length of Class
1,55,115 Classroom,465,60
1,55,115 Classroom,1020,120
1,55,115 Classroom,840,120
1,55,115 Classroom,540,120
1,55,115 Classroom,765,60
1,55,115 Classroom,690,60
2,33,009 Classroom,540,60
2,33,009 Classroom,690,60
2,33,009 Classroom,765,60
2,33,009 Classroom,615,60
2,33,009 Classroom,840,60
2,33,009 Classroom,1080,120
2,5,127 Classroom,495,180
2,5,127 Classroom,690,90
2,5,127 Classroom,915,60
2,5,127 Classroom,840,60
2,6,128 Classroom,840,60
2,6,128 Classroom,615,60
2,6,128 Classroom,540,60
2,6,128 Classroom,690,60
2,6,128 Classroom,1065,60
2,6,128 Classroom,765,60
2,10,151 Classroom,1080,60
2,10,151 Classroom,840,60
2,10,151 Classroom,615,60
2,10,151 Classroom,540,60
2,10,151 Classroom,900,120
2,10,151 Classroom,690,135
2,12,153 Computer Lab,915,60
2,12,153 Computer Lab,765,60
2,12,153 Computer Lab,990,60
2,12,153 Computer Lab,540,60
2,12,153 Computer Lab,615,60
2,12,153 Computer Lab,690,60
2,14,156 Classroom,690,60
2,14,156 Classroom,990,60
2,14,156 Classroom,1080,60
2,14,156 Classroom,465,60
2,14,156 Classroom,840,60
2,14,156 Classroom,765,60
2,14,156 Classroom,615,60
2,15,157 Classroom,690,60
2,15,157 Classroom,540,60
2,15,157 Classroom,765,60
2,15,157 Classroom,615,60
2,15,157 Classroom,1020,120
2,24,202 Classroom,1065,120
2,24,202 Classroom,915,60
2,24,202 Classroom,615,60
2,24,202 Classroom,465,60
2,24,202 Classroom,840,60
2,24,202 Classroom,765,60
2,25,204 Classroom,1050,120
2,25,204 Classroom,690,60
2,25,204 Classroom,990,60
2,25,204 Classroom,540,60
2,25,204 Classroom,765,60
2,25,204 Classroom,615,60
2,25,204 Classroom,840,60
2,25,204 Classroom,465,60
2,1269,204/206 Classroom Combo,1050,120
2,1269,204/206 Classroom Combo,690,60
2,1269,204/206 Classroom Combo,990,60
2,1269,204/206 Classroom Combo,540,60
2,1269,204/206 Classroom Combo,915,60
2,1269,204/206 Classroom Combo,690,60
2,1269,204/206 Classroom Combo,765,60
2,1269,204/206 Classroom Combo,615,60
2,1269,204/206 Classroom Combo,540,60
2,1269,204/206 Classroom Combo,615,60
2,1269,204/206 Classroom Combo,840,60
2,1269,204/206 Classroom Combo,840,60
2,1269,204/206 Classroom Combo,465,60
2,1269,204/206 Classroom Combo,765,60
2,26,206 Classroom,1050,120
2,26,206 Classroom,915,60
2,26,206 Classroom,690,60
2,26,206 Classroom,615,60
2,26,206 Classroom,540,60
2,26,206 Classroom,840,60
2,26,206 Classroom,765,60
2,28,210 Classroom,975,45
2,28,210 Classroom,690,60
2,28,210 Classroom,765,60
2,28,210 Classroom,615,60
2,28,210 Classroom,840,60
2,28,210 Classroom,915,60
2,28,210 Classroom,465,60
2,28,210 Classroom,540,60
2,28,210 Classroom,1050,120
2,1268,210/212 Classroom Combo,975,45
2,1268,210/212 Classroom Combo,690,60
2,1268,210/212 Classroom Combo,765,60
2,1268,210/212 Classroom Combo,615,60
2,1268,210/212 Classroom Combo,840,60
2,1268,210/212 Classroom Combo,915,60
2,1268,210/212 Classroom Combo,465,60
2,1268,210/212 Classroom Combo,540,60
2,1268,210/212 Classroom Combo,1050,120
2,1268,210/212 Classroom Combo,615,60
2,1268,210/212 Classroom Combo,690,60
2,1268,210/212 Classroom Combo,915,60
2,1268,210/212 Classroom Combo,840,60
2,1268,210/212 Classroom Combo,765,60
2,1268,210/212 Classroom Combo,540,60
2,1268,210/212 Classroom Combo,465,60
2,29,212 Classroom,615,60
2,29,212 Classroom,690,60
2,29,212 Classroom,915,60
2,29,212 Classroom,840,60
2,29,212 Classroom,765,60
2,29,212 Classroom,540,60
2,29,212 Classroom,465,60
2,30,213 Classroom,465,60
2,30,213 Classroom,540,60
2,30,213 Classroom,765,60
2,30,213 Classroom,615,60
2,30,213 Classroom,1050,120
2,30,213 Classroom,840,60
2,30,213 Classroom,690,60
2,30,213 Classroom,915,60
2,31,214 Classroom,690,60
2,31,214 Classroom,555,120
2,31,214 Classroom,915,120
2,31,214 Classroom,840,60
2,31,214 Classroom,765,60
2,32,221 Classroom,615,60
2,32,221 Classroom,840,60
2,32,221 Classroom,690,60
2,32,221 Classroom,765,60
2,32,221 Classroom,915,60
2,32,221 Classroom,1050,60
2,32,221 Classroom,480,120
3,63,108 Classroom,540,60
3,63,108 Classroom,1020,120
3,63,108 Classroom,960,60
3,63,108 Classroom,690,60
3,63,108 Classroom,765,60
3,63,108 Classroom,615,60
3,63,108 Classroom,840,60
3,757,108/110 Classroom,540,60
3,757,108/110 Classroom,1020,120
3,757,108/110 Classroom,960,60
3,757,108/110 Classroom,540,60
3,757,108/110 Classroom,615,60
3,757,108/110 Classroom,690,60
3,757,108/110 Classroom,765,60
3,757,108/110 Classroom,915,60
3,757,108/110 Classroom,840,60
3,757,108/110 Classroom,690,60
3,757,108/110 Classroom,765,60
3,757,108/110 Classroom,615,60
3,757,108/110 Classroom,840,60
3,65,110 Classroom,1020,120
3,65,110 Classroom,540,60
3,65,110 Classroom,615,60
3,65,110 Classroom,690,60
3,65,110 Classroom,765,60
3,65,110 Classroom,915,60
3,65,110 Classroom,840,60
3,68,124 Classroom,915,60
3,68,124 Classroom,1020,120
3,68,124 Classroom,615,60
3,68,124 Classroom,540,60
3,68,124 Classroom,465,60
3,68,124 Classroom,690,60
3,68,124 Classroom,765,60
3,68,124 Classroom,840,60
3,68,124 Classroom,975,45
3,69,133 Classroom,840,120
3,69,133 Classroom,675,45
3,69,133 Classroom,750,60
3,69,133 Classroom,615,60
3,69,133 Classroom,540,60
3,72,154 Classroom,540,60
3,72,154 Classroom,840,60
3,72,154 Classroom,765,60
3,457,1FF Foyer,630,30
3,74,216 Conference Room (Biology Dept),840,60
3,74,216 Conference Room (Biology Dept),615,60
3,74,216 Conference Room (Biology Dept),540,60
3,75,219 Lecture Hall,465,60
3,75,219 Lecture Hall,540,60
3,75,219 Lecture Hall,615,60
3,75,219 Lecture Hall,690,60
3,75,219 Lecture Hall,765,60
3,75,219 Lecture Hall,840,60
3,75,219 Lecture Hall,915,60
3,79,224 Lecture Hall,765,60
3,79,224 Lecture Hall,540,60
3,79,224 Lecture Hall,840,60
3,79,224 Lecture Hall,615,60
3,79,224 Lecture Hall,690,60
3,80,229 Computer Lab,915,180
3,82,236 Soils Lab,765,60
3,82,236 Soils Lab,690,60
3,82,236 Soils Lab,840,180
3,82,236 Soils Lab,540,60
3,84,269 Classroom,540,60
3,84,269 Classroom,615,60
3,84,269 Classroom,690,60
3,84,269 Classroom,465,60
3,84,269 Classroom,765,60
3,84,269 Classroom,840,60
3,84,269 Classroom,1110,90
3,85,270 Lecture Hall,690,60
3,85,270 Lecture Hall,540,60
3,85,270 Lecture Hall,765,60
3,85,270 Lecture Hall,840,60
3,85,270 Lecture Hall,465,60
3,85,270 Lecture Hall,615,60
3,86,271 Classroom,765,60
3,86,271 Classroom,840,60
3,86,271 Classroom,915,60
3,86,271 Classroom,465,60
3,86,271 Classroom,540,60
3,86,271 Classroom,690,60
3,86,271 Classroom,615,60
3,94,287 Lecture Hall,615,60
3,94,287 Lecture Hall,690,60
3,94,287 Lecture Hall,840,60
3,94,287 Lecture Hall,540,60
3,94,287 Lecture Hall,765,60
3,94,287 Lecture Hall,465,60
47,856,212 Conference Room,540,60
47,856,212 Conference Room,660,720
47,855,251 Conference Room,900,60
47,855,251 Conference Room,870,30
45,601,Court 03,465,60
45,601,Court 03,390,60
45,601,Court 03,1080,330
45,602,Court 04,390,60
45,602,Court 04,660,120
45,602,Court 04,900,180
45,602,Court 04,1080,330
45,603,Court 05,390,60
45,603,Court 05,675,15
45,603,Court 05,900,180
45,603,Court 05,1080,330
45,604,Court 06,660,120
45,604,Court 06,390,60
45,604,Court 06,900,180
45,604,Court 06,1080,330
45,605,Court 07,390,60
45,605,Court 07,675,15
45,605,Court 07,900,180
45,605,Court 07,1080,330
45,606,Court 08,660,120
45,606,Court 08,390,60
45,607,Court 09,660,120
45,607,Court 09,540,60
45,607,Court 09,1080,330
45,608,Court 10,660,120
45,608,Court 10,1080,330
45,635,Courts 1-10,390,60
45,635,Courts 1-10,465,60
45,635,Courts 1-10,390,60
45,635,Courts 1-10,660,120
45,635,Courts 1-10,660,120
45,635,Courts 1-10,660,120
45,635,Courts 1-10,660,120
45,635,Courts 1-10,660,120
45,635,Courts 1-10,390,60
45,635,Courts 1-10,390,60
45,635,Courts 1-10,390,60
45,635,Courts 1-10,390,60
45,635,Courts 1-10,540,60
45,635,Courts 1-10,675,15
45,635,Courts 1-10,675,15
45,635,Courts 1-10,900,180
45,635,Courts 1-10,900,180
45,635,Courts 1-10,900,180
45,635,Courts 1-10,900,180
45,635,Courts 1-10,1080,330
45,635,Courts 1-10,1080,330
45,635,Courts 1-10,1080,330
45,635,Courts 1-10,1080,330
45,635,Courts 1-10,1080,330
45,635,Courts 1-10,1080,330
45,635,Courts 1-10,1080,330
4,117,112 Classroom,765,60
4,117,112 Classroom,540,120
4,117,112 Classroom,840,60
4,117,112 Classroom,960,75
4,118,114 Classroom,585,90
4,118,114 Classroom,840,60
4,118,114 Classroom,690,90
4,118,114 Classroom,900,210
4,118,114 Classroom,510,60
4,1233,121 Classroom,480,540
4,1234,127 Classroom,480,90
4,1234,127 Classroom,585,90
4,1234,127 Classroom,840,120
4,1234,127 Classroom,690,90
4,1234,127 Classroom,1080,90
4,1235,127/133 Classroom Combo,840,180
4,1235,127/133 Classroom Combo,690,60
4,1235,127/133 Classroom Combo,765,60
4,1235,127/133 Classroom Combo,480,90
4,1235,127/133 Classroom Combo,585,90
4,1235,127/133 Classroom Combo,480,90
4,1235,127/133 Classroom Combo,585,90
4,1235,127/133 Classroom Combo,840,120
4,1235,127/133 Classroom Combo,690,90
4,1235,127/133 Classroom Combo,1080,90
4,121,133 Classroom,840,180
4,121,133 Classroom,690,60
4,121,133 Classroom,765,60
4,121,133 Classroom,480,90
4,121,133 Classroom,585,90
4,122,135 Classroom,615,60
4,122,135 Classroom,690,90
4,122,135 Classroom,840,120
4,122,135 Classroom,480,120
4,123,139 Classroom,885,120
4,123,139 Classroom,690,60
4,123,139 Classroom,540,60
4,123,139 Classroom,615,60
4,123,139 Classroom,765,60
4,123,139 Classroom,1020,60
4,124,141 Classroom - laptop,615,60
4,124,141 Classroom - laptop,840,60
4,124,141 Classroom - laptop,915,60
4,124,141 Classroom - laptop,765,60
4,124,141 Classroom - laptop,480,120
4,124,141 Classroom - laptop,690,60
4,125,143 Classroom,690,60
4,125,143 Classroom,795,90
4,125,143 Classroom,540,60
4,125,143 Classroom,915,60
4,125,143 Classroom,615,60
4,126,148 Classroom,690,60
4,126,148 Classroom,600,60
4,126,148 Classroom,795,90
4,418,149 Classroom,690,60
4,418,149 Classroom,765,60
4,418,149 Classroom,615,60
4,418,149 Classroom,540,60
4,418,149 Classroom,840,210
4,419,214 Classroom,915,90
4,419,214 Classroom,480,90
4,419,214 Classroom,795,90
4,419,214 Classroom,690,90
4,420,216 Classroom,540,60
4,420,216 Classroom,840,60
4,420,216 Classroom,690,60
4,420,216 Classroom,765,60
4,420,216 Classroom,615,60
4,860,225 Classroom,540,60
4,860,225 Classroom,990,30
4,860,225 Classroom,840,60
4,860,225 Classroom,615,60
4,860,225 Classroom,765,60
4,860,225 Classroom,690,60
4,861,229 Classroom,915,60
4,861,229 Classroom,615,60
4,861,229 Classroom,690,60
4,861,229 Classroom,765,60
4,861,229 Classroom,840,60
4,862,235 Classroom,540,60
4,862,235 Classroom,690,90
4,862,235 Classroom,615,60
4,862,235 Classroom,885,15
4,862,235 Classroom,795,90
4,864,235/239 Classroom Combo,690,90
4,864,235/239 Classroom Combo,480,90
4,864,235/239 Classroom Combo,540,60
4,864,235/239 Classroom Combo,690,90
4,864,235/239 Classroom Combo,585,90
4,864,235/239 Classroom Combo,615,60
4,864,235/239 Classroom Combo,885,15
4,864,235/239 Classroom Combo,795,90
4,864,235/239 Classroom Combo,795,90
4,863,239 Classroom,690,90
4,863,239 Classroom,480,90
4,863,239 Classroom,585,90
4,863,239 Classroom,885,15
4,863,239 Classroom,795,90
4,903,269 Classroom - Infant,615,60
4,903,269 Classroom - Infant,840,240
4,903,269 Classroom - Infant,765,60
4,135,317 Classroom,840,60
4,135,317 Classroom,585,90
4,135,317 Classroom,690,90
4,136,319 Classroom,915,60
4,136,319 Classroom,765,60
4,136,319 Classroom,690,60
4,136,319 Classroom,840,60
4,136,319 Classroom,540,60
4,136,319 Classroom,615,60
4,139,323 Classroom,765,60
4,139,323 Classroom,840,60
4,139,323 Classroom,915,60
4,139,323 Classroom,480,120
4,139,323 Classroom,615,60
4,139,323 Classroom,690,60
4,140,329 Classroom,840,60
4,140,329 Classroom,915,60
4,140,329 Classroom,765,60
4,140,329 Classroom,690,60
4,140,329 Classroom,615,60
4,1230,337 Classroom with dining capabilities,480,90
4,1230,337 Classroom with dining capabilities,690,60
4,1230,337 Classroom with dining capabilities,585,90
4,1230,337 Classroom with dining capabilities,765,120
4,144,341 Classroom,1035,60
4,144,341 Classroom,915,60
4,144,341 Classroom,690,60
4,144,341 Classroom,465,60
4,144,341 Classroom,840,60
4,144,341 Classroom,540,60
4,144,341 Classroom,615,60
4,144,341 Classroom,765,60
4,1272,341/343 Classrooom Combo,1035,60
4,1272,341/343 Classrooom Combo,915,60
4,1272,341/343 Classrooom Combo,690,60
4,1272,341/343 Classrooom Combo,690,60
4,1272,341/343 Classrooom Combo,765,60
4,1272,341/343 Classrooom Combo,465,60
4,1272,341/343 Classrooom Combo,615,60
4,1272,341/343 Classrooom Combo,840,60
4,1272,341/343 Classrooom Combo,540,60
4,1272,341/343 Classrooom Combo,615,60
4,1272,341/343 Classrooom Combo,765,60
4,1272,341/343 Classrooom Combo,465,60
4,1272,341/343 Classrooom Combo,540,60
4,1231,343 Classroom ,690,60
4,1231,343 Classroom ,765,60
4,1231,343 Classroom ,615,60
4,1231,343 Classroom ,465,60
4,1231,343 Classroom ,540,60
4,146,351 Classroom ,1020,90
4,146,351 Classroom ,690,60
4,146,351 Classroom ,915,90
4,146,351 Classroom ,840,60
4,146,351 Classroom ,765,60
4,146,351 Classroom ,585,90
24,407,Sports Complex Field 2,360,150
24,402,Stadium Field,465,60
24,402,Stadium Field,360,105
24,423,Stadium Field and Track,465,60
24,423,Stadium Field and Track,360,105
5,173,141 Classroom ,1200,60
5,173,141 Classroom ,840,60
5,173,141 Classroom ,975,30
5,173,141 Classroom ,915,60
5,173,141 Classroom ,645,30
5,173,141 Classroom ,690,60
5,173,141 Classroom ,585,60
